benchmark_name,migration_mechanism,average_execution_time(ms),execution_time_deviation,migration_bandwidth(MB/GCycles),avg_nvm_media_reads,stddev_nvm_media_reads,avg_nvm_media_writes,stddev_nvm_media_writes
503.postencil,all-local-access,28576.80,123.20,0,438558.40,31349.97,360427.20,1757.02
503.postencil,rpdaa-nt,184506.00,503.18,184.49845425183847,6764580420.00,27251903.80,4042845844.80,12593022.06
503.postencil,nt,224179.20,4584.78,118.13383745741768,7545209229.60,145570259.52,4274890865.60,69876827.44
503.postencil,rpdaa,225896.60,3916.66,133.28811191391011,8101673572.00,148315327.89,5170264472.80,131341568.56
503.postencil,nimble-best,240173.80,2897.60,110.24203295857231,8454427980.80,87679720.43,5124040671.20,53868902.62
503.postencil,nimble-default,366888.40,118525.68,128.38881889822173,12415291701.60,3757008835.36,6842929020.00,1732090485.48
503.postencil,stock-linux,276268.80,9203.92,68.8222672235353,10006546633.60,292172419.89,6100224182.40,146690166.17
503.postencil,all-remote-access,259021.80,298.91,0,10235692286.40,15797328.65,6338187213.60,16680219.11
504.polbm,all-local-access,20507.20,64.51,0,557164.80,314567.57,516615.20,311038.36
504.polbm,rpdaa-nt,113375.40,589.53,342.4528309468643,4196260358.40,21201002.85,2800208410.40,19841693.33
504.polbm,nt,129301.00,1153.31,213.97816357799826,4556835736.00,49030731.78,2971109400.80,37535432.02
504.polbm,rpdaa,137743.00,2048.04,165.60372232649857,4954824852.00,85481243.83,3410245057.60,45589175.40
504.polbm,nimble-best,147167.20,5268.28,169.86335708301257,5140353652.80,193243441.59,3419089516.80,108677168.49
504.polbm,nimble-default,160959.80,1505.05,164.461567671643,5462335708.80,50807192.77,3436862676.80,29176698.78
504.polbm,stock-linux,150476.00,3455.19,90.29019993058394,5372899767.20,128899536.16,3639234713.60,82394379.47
504.polbm,all-remote-access,178952.00,763.71,0,6678800195.20,35574458.61,4631855141.60,34415470.50
553.pclvrleaf,all-local-access,22193.80,11.67,0,303872.00,6198.90,278734.40,1977.82
553.pclvrleaf,rpdaa-nt,186684.80,4556.66,185.27799378806213,6921356115.20,155085180.23,3919124007.20,82598149.09
553.pclvrleaf,nt,215028.00,6198.79,113.61263968929319,7550900790.40,136883250.97,4040259252.00,86768226.56
553.pclvrleaf,rpdaa,229451.80,1797.69,112.58166062892673,8173175290.40,65339372.99,4853520048.80,55971680.07
553.pclvrleaf,nimble-best,261817.20,10158.96,112.47436560330054,9115303990.40,334822174.35,5224237824.80,203453831.04
553.pclvrleaf,nimble-default,313411.20,6993.58,129.30677429093927,10817252762.40,242339683.58,5902495125.60,144029658.71
553.pclvrleaf,stock-linux,253203.60,19434.53,61.14085659092703,9169527299.20,701328681.78,5300565284.80,411938903.90
553.pclvrleaf,all-remote-access,330646.60,1030.16,0,12568385620.00,37922768.43,7242870484.80,31594258.04
555.pseismic,all-local-access,20276.60,35.76,0,298759.20,12778.21,255790.40,1807.27
555.pseismic,rpdaa-nt,182557.00,2397.98,206.42336336577722,6987929926.40,78286828.18,3878906344.00,45462030.27
555.pseismic,nt,222204.40,2382.23,138.98188975070067,8175600060.00,107910761.05,4257732850.40,55569292.99
555.pseismic,rpdaa,236099.40,2392.81,149.78420794169787,8868507804.80,86944134.73,5305707500.80,61036755.75
555.pseismic,nimble-best,243524.40,1479.54,147.09033141599164,9105586206.40,52685918.14,5308332038.40,27278066.87
555.pseismic,nimble-default,284459.20,11316.66,150.53393194742742,10523343993.60,382211293.75,5667894581.60,174543328.15
555.pseismic,stock-linux,293090.60,8119.92,74.95003922932788,10993797660.80,299381545.09,6345242177.60,165994043.21
555.pseismic,all-remote-access,269859.00,139.92,0,10924569104.00,4374534.97,6307106068.80,3250695.40
559.pmniGhost,all-local-access,18178.00,81.25,0,454156.80,372106.39,432768.00,366595.69
559.pmniGhost,rpdaa-nt,132598.80,1788.13,204.62443584056635,4992897097.60,83145904.57,3165444340.80,55866995.06
559.pmniGhost,nt,152641.60,3101.34,134.58796554748739,5487011473.60,116530516.59,3337151314.40,73820285.28
559.pmniGhost,rpdaa,167646.40,15612.96,116.95504021780977,6004805207.20,561621932.49,3833914464.00,340916135.21
559.pmniGhost,nimble-best,166296.60,20564.19,119.94803709942262,5933313924.80,660941854.24,3745310276.80,380357889.02
559.pmniGhost,nimble-default,162393.60,6825.66,165.07473204078926,5856653196.80,244557568.68,3689589195.20,143305031.61
559.pmniGhost,stock-linux,203184.00,11862.70,64.67227594753112,7349190091.20,420459061.38,4631487530.40,248380627.86
559.pmniGhost,all-remote-access,258818.20,462.28,0,10049009375.20,16930025.36,6349894461.60,14573192.54


//////////////
percentage improvement
	503.postencil	504.polbm	553.pclvrleaf	555.pseismic	559.pmniGhost
read	19.98772199	18.36631014	24.06883937	23.25667159	15.84977365
write	21.10043413	18.10075762	24.98189901	26.92796314	15.48245387
time	23.17813184	22.96150229	28.69651039	25.03543793	20.26367346
