,page_count,bandwidth,migration_type
0,1,4248.95836785612,mt-1-concurrent
1,2,5766.957811531782,mt-1-concurrent
2,4,5720.683481519296,mt-1-concurrent
3,8,1702.3158922487664,mt-1-concurrent
4,16,1519.928610473095,mt-1-concurrent
5,32,2374.291909173689,mt-1-concurrent
6,64,3126.728494595919,mt-1-concurrent
7,128,3747.1196688831947,mt-1-concurrent
8,256,4204.947515787432,mt-1-concurrent
9,512,4472.89100425261,mt-1-concurrent
10,1,3046.891043785652,mt-2-concurrent
11,2,3183.4516542726933,mt-2-concurrent
12,4,3322.1017226716954,mt-2-concurrent
13,8,2798.3730748658018,mt-2-concurrent
14,16,1877.3647278778894,mt-2-concurrent
15,32,1760.457317958515,mt-2-concurrent
16,64,1780.6688023971185,mt-2-concurrent
17,128,1704.463276309043,mt-2-concurrent
18,256,1806.4784290010864,mt-2-concurrent
19,512,1945.013931903064,mt-2-concurrent
20,1,2356.760237118361,mt-4-concurrent
21,2,2419.707306154979,mt-4-concurrent
22,4,2432.1961478634194,mt-4-concurrent
23,8,2227.410697014581,mt-4-concurrent
24,16,718.5081364085901,mt-4-concurrent
25,32,680.0371606306427,mt-4-concurrent
26,64,715.0301832032293,mt-4-concurrent
27,128,688.8899179720233,mt-4-concurrent
28,256,704.8700326588009,mt-4-concurrent
29,512,791.7590596428269,mt-4-concurrent
30,1,4564.909359159765,mt-1-exchange
31,2,5044.89769767265,mt-1-exchange
32,4,3959.399525386779,mt-1-exchange
33,8,1517.9919137709246,mt-1-exchange
34,16,1199.6137933363389,mt-1-exchange
35,32,1084.6995067125613,mt-1-exchange
36,64,1046.8901038817353,mt-1-exchange
37,128,1023.4079253567643,mt-1-exchange
38,256,1011.0904854554495,mt-1-exchange
39,512,1008.4164325254603,mt-1-exchange
40,1,2114.9872011549523,mt-2-exchange
41,2,1692.7634363097757,mt-2-exchange
42,4,2073.3135058907246,mt-2-exchange
43,8,2568.227944869007,mt-2-exchange
44,16,2881.4032693247905,mt-2-exchange
45,32,3005.809285336577,mt-2-exchange
46,64,3048.5460233634376,mt-2-exchange
47,128,3057.6211634490987,mt-2-exchange
48,256,3067.3962272088015,mt-2-exchange
49,512,3073.8558306213995,mt-2-exchange
50,1,2186.1320961574575,mt-4-exchange
51,2,2065.988072224464,mt-4-exchange
52,4,2104.837094554439,mt-4-exchange
53,8,2642.1757233789976,mt-4-exchange
54,16,2866.1028319899387,mt-4-exchange
55,32,2923.0815747115444,mt-4-exchange
56,64,2940.5667962256657,mt-4-exchange
57,128,2946.5154184084813,mt-4-exchange
58,256,2956.860249812371,mt-4-exchange
59,512,2952.5514617335784,mt-4-exchange
60,1,3282.2360298598146,mt-1-native_thp
61,2,3501.102978729661,mt-1-native_thp
62,4,3475.739749294023,mt-1-native_thp
63,8,3194.2057746089745,mt-1-native_thp
64,16,2590.6840410568043,mt-1-native_thp
65,32,2360.6489643838527,mt-1-native_thp
66,64,2279.015770005717,mt-1-native_thp
67,128,2241.078395158089,mt-1-native_thp
68,256,2233.451224936608,mt-1-native_thp
69,512,2337.099641146087,mt-1-native_thp
70,1,3133.7357781277465,mt-2-native_thp
71,2,3395.0813758567274,mt-2-native_thp
72,4,3394.7348934827664,mt-2-native_thp
73,8,3032.164882910394,mt-2-native_thp
74,16,2084.2329458062572,mt-2-native_thp
75,32,1909.0794242426455,mt-2-native_thp
76,64,1848.4242790257563,mt-2-native_thp
77,128,1823.333057815363,mt-2-native_thp
78,256,1816.6666755962458,mt-2-native_thp
79,512,1963.5176856988978,mt-2-native_thp
80,1,2374.1202845668054,mt-4-native_thp
81,2,2502.1809634822957,mt-4-native_thp
82,4,2485.318138429611,mt-4-native_thp
83,8,2115.855016747786,mt-4-native_thp
84,16,713.0814295784302,mt-4-native_thp
85,32,699.8308953774582,mt-4-native_thp
86,64,725.2848919905682,mt-4-native_thp
87,128,731.8314226718096,mt-4-native_thp
88,256,720.3100356091752,mt-4-native_thp
89,512,775.0475139226453,mt-4-native_thp
90,1,1374.3620726644467,mt-1-split_thp
91,2,1551.424706275548,mt-1-split_thp
92,4,1671.7010640753408,mt-1-split_thp
93,8,1339.2804304058911,mt-1-split_thp
94,16,1419.2430292559166,mt-1-split_thp
95,32,1818.9577535210099,mt-1-split_thp
96,64,2139.9684231275032,mt-1-split_thp
97,128,2347.2381428692156,mt-1-split_thp
98,256,2470.8688161878617,mt-1-split_thp
99,512,2550.6972150868814,mt-1-split_thp
100,1,499.86005168203036,mt-2-split_thp
101,2,532.7836214003357,mt-2-split_thp
102,4,581.5760600728522,mt-2-split_thp
103,8,659.9453896015036,mt-2-split_thp
104,16,715.1949457709578,mt-2-split_thp
105,32,766.6582658489982,mt-2-split_thp
106,64,764.1677637717779,mt-2-split_thp
107,128,791.1772110661126,mt-2-split_thp
108,256,791.6384028628737,mt-2-split_thp
109,512,787.642952530792,mt-2-split_thp
110,1,433.5815125005453,mt-4-split_thp
111,2,461.71759731119687,mt-4-split_thp
112,4,494.83827086362015,mt-4-split_thp
113,8,536.530950492076,mt-4-split_thp
114,16,592.154823497411,mt-4-split_thp
115,32,657.7491537222104,mt-4-split_thp
116,64,698.3382572518253,mt-4-split_thp
117,128,698.5782345299126,mt-4-split_thp
118,256,691.1605832847255,mt-4-split_thp
119,512,693.9229083143747,mt-4-split_thp
120,1,2191.834386747205,mt-2-pmem_optimization
121,2,1780.3945621408889,mt-2-pmem_optimization
122,4,2043.3363023009804,mt-2-pmem_optimization
123,8,2626.316077763709,mt-2-pmem_optimization
124,16,2902.8939430510086,mt-2-pmem_optimization
125,32,3030.6970783227785,mt-2-pmem_optimization
126,64,3046.0763839920633,mt-2-pmem_optimization
127,128,3055.2708133330448,mt-2-pmem_optimization
128,256,3065.3459633960847,mt-2-pmem_optimization
129,512,3072.5432284080716,mt-2-pmem_optimization
