,configuration,migration_mechanism,thread_cnt,page_cnt,rpdaa,nt,bandwidth(MBps)
0,dram to dram,native THP,1,1,True,True,1111.4071158729719
1,dram to dram,native THP,1,1,False,True,1128.739514009915
2,dram to dram,native THP,1,1,True,False,1199.9093348506588
3,dram to dram,native THP,1,1,False,False,2011.615470047146
4,dram to pmem,native THP,1,1,True,True,1446.3334362640628
5,dram to pmem,native THP,1,1,False,True,1111.0280309039113
6,dram to pmem,native THP,1,1,True,False,1202.6696861693588
7,dram to pmem,native THP,1,1,False,False,959.3941234231758
8,pmem to dram,native THP,1,1,True,True,1251.2247926689238
9,pmem to dram,native THP,1,1,False,True,1284.558476698623
10,pmem to dram,native THP,1,1,True,False,3347.643392957094
11,pmem to dram,native THP,1,1,False,False,635.5509804358978
12,pmem to pmem,native THP,1,1,True,True,1411.4810148040362
13,pmem to pmem,native THP,1,1,False,True,1162.7011967218336
14,pmem to pmem,native THP,1,1,True,False,1205.465580944
15,pmem to pmem,native THP,1,1,False,False,933.9331051734756
16,dram to dram,native THP,1,2,True,True,1183.5309070515777
17,dram to dram,native THP,1,2,False,True,1209.6172311426117
18,dram to dram,native THP,1,2,True,False,1301.4924083297076
19,dram to dram,native THP,1,2,False,False,2234.640367035211
20,dram to pmem,native THP,1,2,True,True,1523.9600039744878
21,dram to pmem,native THP,1,2,False,True,1379.5732248841623
22,dram to pmem,native THP,1,2,True,False,1439.9328069754954
23,dram to pmem,native THP,1,2,False,False,987.4977843018464
24,pmem to dram,native THP,1,2,True,True,1344.9244300412004
25,pmem to dram,native THP,1,2,False,True,1238.8416756002637
26,pmem to dram,native THP,1,2,True,False,4392.056000470829
27,pmem to dram,native THP,1,2,False,False,1012.5577923688481
28,pmem to pmem,native THP,1,2,True,True,1514.5860696854993
29,pmem to pmem,native THP,1,2,False,True,1292.5587907440383
30,pmem to pmem,native THP,1,2,True,False,1492.6758872241571
31,pmem to pmem,native THP,1,2,False,False,976.0805602233897
32,dram to dram,native THP,1,4,True,True,1231.5356248619332
33,dram to dram,native THP,1,4,False,True,1189.9854631375824
34,dram to dram,native THP,1,4,True,False,1341.7331193537357
35,dram to dram,native THP,1,4,False,False,2374.005870204315
36,dram to pmem,native THP,1,4,True,True,1640.8178377573267
37,dram to pmem,native THP,1,4,False,True,1477.0720385019506
38,dram to pmem,native THP,1,4,True,False,1640.7771179848369
39,dram to pmem,native THP,1,4,False,False,926.314120158133
40,pmem to dram,native THP,1,4,True,True,1386.5324096577945
41,pmem to dram,native THP,1,4,False,True,1297.4974064648718
42,pmem to dram,native THP,1,4,True,False,3052.895148239811
43,pmem to dram,native THP,1,4,False,False,1255.6818820360957
44,pmem to pmem,native THP,1,4,True,True,1625.1481932008676
45,pmem to pmem,native THP,1,4,False,True,1462.245212453811
46,pmem to pmem,native THP,1,4,True,False,1630.0558832058439
47,pmem to pmem,native THP,1,4,False,False,897.3366957137546
48,dram to dram,native THP,1,8,True,True,1252.0712584428925
49,dram to dram,native THP,1,8,False,True,1219.4260545680356
50,dram to dram,native THP,1,8,True,False,1767.8939541186878
51,dram to dram,native THP,1,8,False,False,2188.4987333653235
52,dram to pmem,native THP,1,8,True,True,1692.3091698237752
53,dram to pmem,native THP,1,8,False,True,1139.6896684866417
54,dram to pmem,native THP,1,8,True,False,1707.7968182891377
55,dram to pmem,native THP,1,8,False,False,766.9175468060085
56,pmem to dram,native THP,1,8,True,True,1422.707713325463
57,pmem to dram,native THP,1,8,False,True,1429.4508216117026
58,pmem to dram,native THP,1,8,True,False,812.5334751095911
59,pmem to dram,native THP,1,8,False,False,752.5152846906889
60,pmem to pmem,native THP,1,8,True,True,1590.9054932932597
61,pmem to pmem,native THP,1,8,False,True,1070.6807630533015
62,pmem to pmem,native THP,1,8,True,False,1479.2833759613493
63,pmem to pmem,native THP,1,8,False,False,629.0870211043598
64,dram to dram,native THP,1,16,True,True,1284.2330375691138
65,dram to dram,native THP,1,16,False,True,1281.6508893840119
66,dram to dram,native THP,1,16,True,False,1999.4709399892788
67,dram to dram,native THP,1,16,False,False,2225.5247463955434
68,dram to pmem,native THP,1,16,True,True,1721.9091904912084
69,dram to pmem,native THP,1,16,False,True,1046.6993004830074
70,dram to pmem,native THP,1,16,True,False,1104.5866018712484
71,dram to pmem,native THP,1,16,False,False,749.5639938502959
72,pmem to dram,native THP,1,16,True,True,1409.5358358849237
73,pmem to dram,native THP,1,16,False,True,1389.154395846248
74,pmem to dram,native THP,1,16,True,False,796.9475514122695
75,pmem to dram,native THP,1,16,False,False,776.4638397368541
76,pmem to pmem,native THP,1,16,True,True,1347.5531294508469
77,pmem to pmem,native THP,1,16,False,True,987.5156299036324
78,pmem to pmem,native THP,1,16,True,False,892.172544809603
79,pmem to pmem,native THP,1,16,False,False,515.8155861016817
80,dram to dram,native THP,1,32,True,True,1326.005682282425
81,dram to dram,native THP,1,32,False,True,1476.136057951441
82,dram to dram,native THP,1,32,True,False,2035.8507074794336
83,dram to dram,native THP,1,32,False,False,2338.2478675727475
84,dram to pmem,native THP,1,32,True,True,1799.677341473439
85,dram to pmem,native THP,1,32,False,True,996.0161594657728
86,dram to pmem,native THP,1,32,True,False,799.1335733862328
87,dram to pmem,native THP,1,32,False,False,565.66283680047
88,pmem to dram,native THP,1,32,True,True,1542.9781619407656
89,pmem to dram,native THP,1,32,False,True,1605.5301442223142
90,pmem to dram,native THP,1,32,True,False,1217.1869413064392
91,pmem to dram,native THP,1,32,False,False,1181.3472243228052
92,pmem to pmem,native THP,1,32,True,True,1283.6613873752103
93,pmem to pmem,native THP,1,32,False,True,996.515527751665
94,pmem to pmem,native THP,1,32,True,False,714.5773527628494
95,pmem to pmem,native THP,1,32,False,False,476.2516539754853
96,dram to dram,native THP,1,64,True,True,1533.4644092386943
97,dram to dram,native THP,1,64,False,True,1590.9861842463772
98,dram to dram,native THP,1,64,True,False,2227.9389898959066
99,dram to dram,native THP,1,64,False,False,2474.090569729324
100,dram to pmem,native THP,1,64,True,True,1862.0912470041317
101,dram to pmem,native THP,1,64,False,True,1005.9854151668642
102,dram to pmem,native THP,1,64,True,False,731.7827902609548
103,dram to pmem,native THP,1,64,False,False,482.6334572436668
104,pmem to dram,native THP,1,64,True,True,1499.1334622093084
105,pmem to dram,native THP,1,64,False,True,1518.2952561884824
106,pmem to dram,native THP,1,64,True,False,1658.4924970227014
107,pmem to dram,native THP,1,64,False,False,1610.1682892294778
108,pmem to pmem,native THP,1,64,True,True,1261.1133296853266
109,pmem to pmem,native THP,1,64,False,True,977.4478333380457
110,pmem to pmem,native THP,1,64,True,False,699.4522806676036
111,pmem to pmem,native THP,1,64,False,False,438.9863319691836
112,dram to dram,native THP,1,128,True,True,1685.7749765108658
113,dram to dram,native THP,1,128,False,True,1776.7823009451286
114,dram to dram,native THP,1,128,True,False,2625.8245478851195
115,dram to dram,native THP,1,128,False,False,2768.5903956033194
116,dram to pmem,native THP,1,128,True,True,1884.7385129174304
117,dram to pmem,native THP,1,128,False,True,997.1181252992675
118,dram to pmem,native THP,1,128,True,False,710.8540769397008
119,dram to pmem,native THP,1,128,False,False,434.0567906957846
120,pmem to dram,native THP,1,128,True,True,1491.6473673232138
121,pmem to dram,native THP,1,128,False,True,1520.3290201044747
122,pmem to dram,native THP,1,128,True,False,1953.0645836207525
123,pmem to dram,native THP,1,128,False,False,1922.3383708410586
124,pmem to pmem,native THP,1,128,True,True,1264.01368397514
125,pmem to pmem,native THP,1,128,False,True,950.9826830592872
126,pmem to pmem,native THP,1,128,True,False,692.954290454749
127,pmem to pmem,native THP,1,128,False,False,461.87509959339707
128,dram to dram,native THP,1,256,True,True,1788.682399285888
129,dram to dram,native THP,1,256,False,True,1890.0032853572734
130,dram to dram,native THP,1,256,True,False,2741.7022947666937
131,dram to dram,native THP,1,256,False,False,3126.9285919917043
132,dram to pmem,native THP,1,256,True,True,1928.949084886323
133,dram to pmem,native THP,1,256,False,True,1016.4816475705682
134,dram to pmem,native THP,1,256,True,False,697.5163872946968
135,dram to pmem,native THP,1,256,False,False,405.5831614106052
136,pmem to dram,native THP,1,256,True,True,1493.55085208803
137,pmem to dram,native THP,1,256,False,True,1571.6898626755935
138,pmem to dram,native THP,1,256,True,False,2146.248224633529
139,pmem to dram,native THP,1,256,False,False,2137.3475266890355
140,pmem to pmem,native THP,1,256,True,True,1259.1819263243506
141,pmem to pmem,native THP,1,256,False,True,954.4012561575821
142,pmem to pmem,native THP,1,256,True,False,688.2562335844956
143,pmem to pmem,native THP,1,256,False,False,405.65658199090166
144,dram to dram,native THP,1,512,True,True,1819.0869437788467
145,dram to dram,native THP,1,512,False,True,1960.3353036988915
146,dram to dram,native THP,1,512,True,False,2869.8289633000654
147,dram to dram,native THP,1,512,False,False,3195.8650978552732
148,dram to pmem,native THP,1,512,True,True,1954.9149130366848
149,dram to pmem,native THP,1,512,False,True,1004.4152308356403
150,dram to pmem,native THP,1,512,True,False,689.3429562308717
151,dram to pmem,native THP,1,512,False,False,385.9700475127289
152,pmem to dram,native THP,1,512,True,True,1523.7706427154603
153,pmem to dram,native THP,1,512,False,True,1543.0939133444494
154,pmem to dram,native THP,1,512,True,False,2251.654180382275
155,pmem to dram,native THP,1,512,False,False,2253.130178923682
156,pmem to pmem,native THP,1,512,True,True,1271.6282633043577
157,pmem to pmem,native THP,1,512,False,True,949.8488727831293
158,pmem to pmem,native THP,1,512,True,False,685.6214566399341
159,pmem to pmem,native THP,1,512,False,False,391.73510691505004
160,dram to dram,native THP,2,1,True,True,1857.2388763927668
161,dram to dram,native THP,2,1,False,True,2069.6790569383197
162,dram to dram,native THP,2,1,True,False,2011.5438478339495
163,dram to dram,native THP,2,1,False,False,3310.6597284067184
164,dram to pmem,native THP,2,1,True,True,1472.0934508476093
